TransactionID,InvoiceNumber,InvoiceDate,DueDate,PaymentDate,SupplierID,SupplierName,SupplierCategory,Department,CostCentre,AccountCode,ExpenseCategory,ExpenseType,NetAmount,VATAmount,GrossAmount,Currency,PaymentStatus,PaymentMethod,TransactionType,FiscalYear,DaysToPayment
TXN-000013,INV-20250200013,2025-02-25,2025-04-26,2025-04-25,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Research,RES001,6200,Capital,Energy Works,23051.75,4610.35,27662.10,GBP,Paid,Purchase Card,Invoice,2024/2025,-1
TXN-000014,INV-20230400014,2023-04-12,2023-05-12,,SUP-1034,RP Slight & Sons Ltd,Construction,Facilities,FAC001,4400,Capital,Joinery Works,-3900.84,-780.17,-4681.01,GBP,Pending,,Credit Note,2023/2024,
TXN-000015,INV-20240600015,2024-06-19,2024-07-19,2024-07-19,SUP-1022,Operational Research Society,Research,Public Health,PH001,4210,Professional Services,Conference Fees,58320.31,0.00,58320.31,GBP,Paid,Bank Transfer,Invoice,2024/2025,0
TXN-000016,INV-20230900016,2023-09-04,2023-10-04,,SUP-1020,Tillicoultry Quarries Ltd,Materials,Legal,LEG001,6120,Supplies And Services,Aggregate Materials,32477.90,6495.58,38973.48,GBP,Overdue,,Invoice,2023/2024,
TXN-000017,INV-20241200017,2024-12-04,2025-01-03,2025-01-03,SUP-1034,RP Slight & Sons Ltd,Construction,Customer Services,CST001,4900,Capital,Building Works,55763.64,11152.73,66916.37,GBP,Paid,Bank Transfer,Invoice,2024/2025,0
TXN-000018,INV-20241100018,2024-11-01,2024-12-01,2024-11-24,SUP-1016,LSE Enterprise Ltd,Education & Research,ICT Operations,ICT001,4200,Professional Services,Research Services,58684.57,0.00,58684.57,GBP,Paid,BACS,Invoice,2024/2025,-7
TXN-000019,INV-20231200019,2023-12-28,2024-01-11,,SUP-1031,Kin and Carta UK Ltd,Digital Services,Marketing,MKT001,4700,Professional Services,Digital Transformation,-1256.04,-0.00,-1256.04,GBP,Overdue,,Credit Note,2023/2024,
TXN-000020,INV-20240600020,2024-06-22,2024-07-06,2024-07-05,SUP-1020,Tillicoultry Quarries Ltd,Materials,Waste Management,WM001,4600,Supplies And Services,Aggregate Materials,13675.67,2735.13,16410.80,GBP,Paid,Cheque,Invoice,2024/2025,-1
TXN-000021,INV-20241100021,2024-11-23,2024-12-23,2024-12-22,SUP-1002,Phoenix Partnership Leeds Ltd,Healthcare IT,Human Resources,HR001,4800,Supplies And Services,IT Software,13929.27,2785.85,16715.12,GBP,Paid,BACS,Invoice,2024/2025,-1
TXN-000022,INV-20240100022,2024-01-11,2024-03-11,2024-03-03,SUP-1022,Operational Research Society,Research,Public Health,PH001,4210,Professional Services,Membership Fees,43470.32,8694.06,52164.38,GBP,Paid,BACS,Invoice,2023/2024,-8
TXN-000023,INV-20231000023,2023-10-12,2023-11-11,2023-11-01,SUP-1031,Kin and Carta UK Ltd,Digital Services,Planning,PLN001,6110,Professional Services,Digital Transformation,21419.28,4283.86,25703.14,GBP,Paid,Purchase Card,Invoice,2023/2024,-10
TXN-000024,INV-20250100024,2025-01-21,2025-02-20,2025-02-14,SUP-1004,Jamieson Joiners & Builders Ltd,Construction,Research,RES001,6200,Capital,Joinery Works,48085.40,9617.08,57702.48,GBP,Paid,Bank Transfer,Invoice,2024/2025,-6
TXN-000025,INV-20241000025,2024-10-01,2024-11-30,2024-11-24,SUP-1016,LSE Enterprise Ltd,Education & Research,Housing,HSG001,5100,Professional Services,Research Services,16893.07,0.00,16893.07,GBP,Paid,Bank Transfer,Invoice,2024/2025,-6
TXN-000026,INV-20230500026,2023-05-22,2023-06-05,,SUP-1029,Phoenix Software Ltd,IT Software,Planning,PLN001,6110,Supplies And Services,Software Licensing,58147.53,11629.51,69777.04,GBP,Overdue,,Invoice,2023/2024,
TXN-000027,INV-20240800027,2024-08-10,2024-10-09,2024-10-03,SUP-1016,LSE Enterprise Ltd,Education & Research,Finance,FIN001,4300,Professional Services,Training,10087.07,0.00,10087.07,GBP,Paid,Direct Debit,Invoice,2024/2025,-6
TXN-000028,INV-20240100028,2024-01-18,2024-03-18,,SUP-1017,Bray Leino Ltd,Marketing,Customer Services,CST001,4900,Supplies And Services,Print Media,-2561.69,-512.34,-3074.03,GBP,Pending,,Credit Note,2023/2024,
TXN-000029,INV-20230500029,2023-05-30,2023-06-13,,SUP-1013,Cinos Ltd,Telecoms,Facilities,FAC001,4400,Supplies And Services,Telecommunications,-1739.62,-347.92,-2087.54,GBP,Pending,,Credit Note,2023/2024,
TXN-000030,INV-20240800030,2024-08-27,2024-09-10,2024-09-10,SUP-1004,Jamieson Joiners & Builders Ltd,Construction,Human Resources,HR001,4800,Capital,Renovation Works,-1132.67,-226.53,-1359.20,GBP,Paid,Bank Transfer,Credit Note,2024/2025,0
TXN-000031,INV-20241100031,2024-11-04,2024-12-04,2024-11-25,SUP-1016,LSE Enterprise Ltd,Education & Research,Waste Management,WM001,4600,Professional Services,Research Services,37258.05,7451.61,44709.66,GBP,Paid,Cheque,Invoice,2024/2025,-9
TXN-000032,INV-20240200032,2024-02-16,2024-03-17,2024-03-11,SUP-1017,Bray Leino Ltd,Marketing,Housing,HSG001,5100,Supplies And Services,Branding Materials,40383.49,8076.70,48460.19,GBP,Paid,Bank Transfer,Invoice,2023/2024,-6
TXN-000033,INV-20230400033,2023-04-10,2023-06-09,2023-05-31,SUP-1030,Wales Audit Office,Audit & Compliance,Environment,ENV001,5200,Professional Services,External Audit,4627.33,0.00,4627.33,GBP,Paid,Bank Transfer,Invoice,2023/2024,-9
TXN-000034,INV-20230600034,2023-06-10,2023-07-10,2023-07-06,SUP-1009,Firstcall Trade Services Ltd,Trade Supplies,Customer Services,CST001,4900,Supplies And Services,Trade Supplies,26431.53,5286.31,31717.84,GBP,Paid,Bank Transfer,Invoice,2023/2024,-4
TXN-000035,INV-20241000035,2024-10-19,2024-11-18,,SUP-1034,RP Slight & Sons Ltd,Construction,ICT Operations,ICT001,4200,Capital,Joinery Works,56351.07,11270.21,67621.28,GBP,Pending,,Invoice,2024/2025,
TXN-000036,INV-20230700036,2023-07-19,2023-08-02,2023-07-29,SUP-1009,Firstcall Trade Services Ltd,Trade Supplies,Facilities,FAC001,4400,Supplies And Services,Trade Supplies,36388.58,7277.72,43666.30,GBP,Paid,Cheque,Invoice,2023/2024,-4
TXN-000037,INV-20231200037,2023-12-27,2024-01-10,2024-01-06,SUP-1014,P & M Sinclair Ltd,Construction,Research,RES001,6200,Capital,Joinery Works,5764.83,1152.97,6917.80,GBP,Paid,Direct Debit,Invoice,2023/2024,-4
TXN-000038,INV-20240300038,2024-03-07,2024-04-06,,SUP-1018,Allied Publicity Services Ltd,Marketing,ICT Operations,ICT001,4200,Professional Services,Marketing Campaigns,9904.52,1980.90,11885.42,GBP,Pending,,Invoice,2023/2024,
TXN-000039,INV-20230700039,2023-07-24,2023-08-23,,SUP-1028,Knowledge Train Ltd,Training,Marketing,MKT001,4700,Professional Services,Staff Training,32849.02,6569.80,39418.82,GBP,Pending,,Invoice,2023/2024,
TXN-000040,INV-20230500040,2023-05-13,2023-06-12,2023-06-12,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Waste Management,WM001,4600,Capital,Energy Works,12802.07,2560.41,15362.48,GBP,Paid,BACS,Invoice,2023/2024,0
TXN-000041,INV-20240500041,2024-05-21,2024-06-04,,SUP-1007,KPMG LLP,Professional Services,Environment,ENV001,5200,Professional Services,Consultancy,55564.39,0.00,55564.39,GBP,Pending,,Invoice,2024/2025,
TXN-000042,INV-20240500042,2024-05-27,2024-06-26,2024-06-21,SUP-1011,Decco Limited,Waste Management,Planning,PLN001,6110,Supplies And Services,Waste Collection,48183.55,9636.71,57820.26,GBP,Paid,BACS,Invoice,2024/2025,-5
TXN-000043,INV-20230700043,2023-07-20,2023-09-18,,SUP-1018,Allied Publicity Services Ltd,Marketing,Finance,FIN001,4300,Supplies And Services,Branding Materials,51550.95,10310.19,61861.14,GBP,Overdue,,Invoice,2023/2024,
TXN-000044,INV-20240300044,2024-03-24,2024-04-23,,SUP-1015,Vodafone Ltd,Telecoms,Housing,HSG001,5100,Supplies And Services,Mobile Services,13569.68,2713.94,16283.62,GBP,Overdue,,Invoice,2023/2024,
TXN-000045,INV-20240100045,2024-01-11,2024-02-10,,SUP-1013,Cinos Ltd,Telecoms,Waste Management,WM001,4600,Supplies And Services,Mobile Services,21230.98,4246.20,25477.18,GBP,Overdue,,Invoice,2023/2024,
TXN-000046,INV-20230400046,2023-04-29,2023-05-29,2023-05-27,SUP-1033,P1 Solutions Ltd,Facilities,Waste Management,WM001,4600,Supplies And Services,Facilities Management,-1510.97,-302.19,-1813.16,GBP,Paid,Bank Transfer,Credit Note,2023/2024,-2
TXN-000047,INV-20240600047,2024-06-20,2024-07-04,2024-07-03,SUP-1028,Knowledge Train Ltd,Training,Environment,ENV001,5200,Professional Services,Staff Training,53995.41,0.00,53995.41,GBP,Paid,Bank Transfer,Invoice,2024/2025,-1
TXN-000048,INV-20230400048,2023-04-02,2023-04-16,,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Policy,POL001,6100,Capital,Equipment Purchase,-4716.25,-943.25,-5659.50,GBP,Overdue,,Credit Note,2023/2024,
TXN-000049,INV-20230600049,2023-06-11,2023-07-11,2023-07-06,SUP-1013,Cinos Ltd,Telecoms,Environment,ENV001,5200,Supplies And Services,Mobile Services,43255.32,8651.06,51906.38,GBP,Paid,Bank Transfer,Invoice,2023/2024,-5
TXN-000050,INV-20240200050,2024-02-29,2024-04-29,,SUP-1033,P1 Solutions Ltd,Facilities,Facilities,FAC001,4400,Supplies And Services,Facilities Management,33376.15,6675.23,40051.38,GBP,Pending,,Invoice,2023/2024,
TXN-000051,INV-20250200051,2025-02-22,2025-03-24,2025-03-15,SUP-1013,Cinos Ltd,Telecoms,Waste Management,WM001,4600,Supplies And Services,Mobile Services,24512.99,4902.60,29415.59,GBP,Paid,BACS,Invoice,2024/2025,-9
TXN-000052,INV-20240600052,2024-06-14,2024-06-28,2024-06-18,SUP-1020,Tillicoultry Quarries Ltd,Materials,Facilities,FAC001,4400,Supplies And Services,Aggregate Materials,28033.04,5606.61,33639.65,GBP,Paid,Purchase Card,Invoice,2024/2025,-10
TXN-000053,INV-20230900053,2023-09-21,2023-10-21,2023-10-13,SUP-1014,P & M Sinclair Ltd,Construction,Marketing,MKT001,4700,Capital,Renovation Works,-4137.51,-827.50,-4965.01,GBP,Paid,BACS,Credit Note,2023/2024,-8
TXN-000054,INV-20230800054,2023-08-29,2023-09-28,2023-09-25,SUP-1020,Tillicoultry Quarries Ltd,Materials,Housing,HSG001,5100,Supplies And Services,Aggregate Materials,36773.62,7354.72,44128.34,GBP,Paid,Bank Transfer,Invoice,2023/2024,-3
TXN-000055,INV-20250300055,2025-03-14,2025-05-13,2025-05-07,SUP-1030,Wales Audit Office,Audit & Compliance,Waste Management,WM001,4600,Professional Services,External Audit,9067.39,0.00,9067.39,GBP,Paid,Bank Transfer,Invoice,2024/2025,-6
TXN-000056,INV-20250300056,2025-03-13,2025-03-27,2025-03-27,SUP-1028,Knowledge Train Ltd,Training,Housing,HSG001,5100,Professional Services,Staff Training,-4279.60,-855.92,-5135.52,GBP,Paid,BACS,Credit Note,2024/2025,0
TXN-000057,INV-20240600057,2024-06-27,2024-07-11,,SUP-1030,Wales Audit Office,Audit & Compliance,Research,RES001,6200,Professional Services,External Audit,-4557.56,-911.51,-5469.07,GBP,Overdue,,Credit Note,2024/2025,
TXN-000058,INV-20240700058,2024-07-04,2024-08-03,,SUP-1011,Decco Limited,Waste Management,Policy,POL001,6100,Supplies And Services,Waste Processing,50431.81,10086.36,60518.17,GBP,Overdue,,Invoice,2024/2025,
TXN-000059,INV-20240800059,2024-08-09,2024-09-08,2024-09-01,SUP-1018,Allied Publicity Services Ltd,Marketing,Planning,PLN001,6110,Supplies And Services,Branding Materials,42884.31,8576.86,51461.17,GBP,Paid,BACS,Invoice,2024/2025,-7
TXN-000060,INV-20241000060,2024-10-05,2024-11-04,2024-11-02,SUP-1018,Allied Publicity Services Ltd,Marketing,Environment,ENV001,5200,Supplies And Services,Print Media,23136.36,4627.27,27763.63,GBP,Paid,BACS,Invoice,2024/2025,-2
TXN-000061,INV-20240500061,2024-05-22,2024-06-21,2024-06-14,SUP-1014,P & M Sinclair Ltd,Construction,Public Health,PH001,4210,Capital,Renovation Works,3970.38,794.08,4764.46,GBP,Paid,Direct Debit,Invoice,2024/2025,-7
TXN-000062,INV-20241100062,2024-11-10,2025-01-09,2025-01-09,SUP-1025,Franks Portlock Consulting Ltd,Consultancy,Customer Services,CST001,4900,Professional Services,Planning Consultancy,18092.11,3618.42,21710.53,GBP,Paid,Direct Debit,Invoice,2024/2025,0
TXN-000063,INV-20240800063,2024-08-12,2024-09-11,2024-09-05,SUP-1035,Dalkeith SPV Ltd,Capital Projects,Policy,POL001,6100,Capital,Major Works,1984.23,396.85,2381.08,GBP,Paid,Cheque,Invoice,2024/2025,-6
TXN-000064,INV-20240700064,2024-07-22,2024-08-21,2024-08-13,SUP-1026,CMS Enviro Systems Ltd,Environmental,Policy,POL001,6100,Supplies And Services,Environmental Services,54439.00,10887.80,65326.80,GBP,Paid,BACS,Invoice,2024/2025,-8
TXN-000065,INV-20230800065,2023-08-17,2023-10-16,2023-10-16,SUP-1006,Edmundson Electrical Ltd,Electrical Supplies,Research,RES001,6200,Supplies And Services,Electrical Materials,22901.46,4580.29,27481.75,GBP,Paid,BACS,Invoice,2023/2024,0
TXN-000066,INV-20240400066,2024-04-23,2024-05-23,,SUP-1030,Wales Audit Office,Audit & Compliance,Environment,ENV001,5200,Professional Services,External Audit,15323.22,0.00,15323.22,GBP,Overdue,,Invoice,2024/2025,
TXN-000067,INV-20240300067,2024-03-24,2024-04-23,,SUP-1031,Kin and Carta UK Ltd,Digital Services,ICT Operations,ICT001,4200,Professional Services,Digital Transformation,46928.67,0.00,46928.67,GBP,Pending,,Invoice,2023/2024,
TXN-000068,INV-20230400068,2023-04-21,2023-05-05,2023-05-02,SUP-1002,Phoenix Partnership Leeds Ltd,Healthcare IT,Housing,HSG001,5100,Supplies And Services,IT Software,28545.27,5709.05,34254.32,GBP,Paid,Bank Transfer,Invoice,2023/2024,-3
TXN-000069,INV-20231200069,2023-12-19,2024-01-18,2024-01-09,SUP-1014,P & M Sinclair Ltd,Construction,Operations,OPS001,4500,Capital,Joinery Works,-3662.20,-732.44,-4394.64,GBP,Paid,BACS,Credit Note,2023/2024,-9
TXN-000070,INV-20240200070,2024-02-14,2024-02-28,,SUP-1020,Tillicoultry Quarries Ltd,Materials,Public Health,PH001,4210,Supplies And Services,Aggregate Materials,23950.10,4790.02,28740.12,GBP,Pending,,Invoice,2023/2024,
TXN-000071,INV-20230700071,2023-07-14,2023-08-13,,SUP-1013,Cinos Ltd,Telecoms,Public Health,PH001,4210,Supplies And Services,Telecommunications,-4032.08,-806.42,-4838.50,GBP,Overdue,,Credit Note,2023/2024,
TXN-000072,INV-20250200072,2025-02-06,2025-03-08,2025-02-28,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Environment,ENV001,5200,Capital,Equipment Purchase,1005.97,201.19,1207.16,GBP,Paid,Direct Debit,Invoice,2024/2025,-8
TXN-000073,INV-20240400073,2024-04-05,2024-06-04,,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Public Health,PH001,4210,Supplies And Services,Infrastructure Support,26270.36,5254.07,31524.43,GBP,Pending,,Invoice,2024/2025,
TXN-000074,INV-20241200074,2024-12-21,2025-01-04,,SUP-1034,RP Slight & Sons Ltd,Construction,Research,RES001,6200,Capital,Renovation Works,28026.21,5605.24,33631.45,GBP,Overdue,,Invoice,2024/2025,
TXN-000075,INV-20230600075,2023-06-28,2023-07-28,2023-07-25,SUP-1018,Allied Publicity Services Ltd,Marketing,Environment,ENV001,5200,Professional Services,Marketing Campaigns,34298.52,6859.70,41158.22,GBP,Paid,Cheque,Invoice,2023/2024,-3
TXN-000076,INV-20231000076,2023-10-04,2023-12-03,2023-11-28,SUP-1002,Phoenix Partnership Leeds Ltd,Healthcare IT,Operations,OPS001,4500,Professional Services,System Integration,20585.25,4117.05,24702.30,GBP,Paid,BACS,Invoice,2023/2024,-5
TXN-000077,INV-20231200077,2023-12-04,2024-02-02,2024-01-25,SUP-1034,RP Slight & Sons Ltd,Construction,Housing,HSG001,5100,Capital,Building Works,41513.91,8302.78,49816.69,GBP,Paid,Purchase Card,Invoice,2023/2024,-8
TXN-000078,INV-20230700078,2023-07-05,2023-08-04,2023-07-29,SUP-1029,Phoenix Software Ltd,IT Software,Planning,PLN001,6110,Supplies And Services,Software Licensing,18545.81,3709.16,22254.97,GBP,Paid,Cheque,Invoice,2023/2024,-6
TXN-000079,INV-20240600079,2024-06-09,2024-06-23,2024-06-18,SUP-1031,Kin and Carta UK Ltd,Digital Services,Marketing,MKT001,4700,Professional Services,Digital Transformation,16437.26,3287.45,19724.71,GBP,Paid,BACS,Invoice,2024/2025,-5
TXN-000080,INV-20240200080,2024-02-18,2024-03-19,,SUP-1008,SAV United Kingdom Ltd,IT Hardware,Policy,POL001,6100,Supplies And Services,IT Hardware,-3528.28,-705.66,-4233.94,GBP,Pending,,Credit Note,2023/2024,
TXN-000081,INV-20240100081,2024-01-09,2024-01-23,,SUP-1013,Cinos Ltd,Telecoms,Housing,HSG001,5100,Supplies And Services,Mobile Services,-4907.43,-981.49,-5888.92,GBP,Overdue,,Credit Note,2023/2024,
TXN-000082,INV-20240400082,2024-04-04,2024-05-04,2024-05-04,SUP-1013,Cinos Ltd,Telecoms,Facilities,FAC001,4400,Supplies And Services,Telecommunications,-466.20,-93.24,-559.44,GBP,Paid,BACS,Credit Note,2024/2025,0
TXN-000083,INV-20250100083,2025-01-13,2025-03-14,2025-03-14,SUP-1019,Simon Tullett Machinery Ltd,Machinery,Policy,POL001,6100,Supplies And Services,Machinery Parts,-2523.89,-504.78,-3028.67,GBP,Paid,Cheque,Credit Note,2024/2025,0
TXN-000084,INV-20240800084,2024-08-02,2024-09-01,,SUP-1012,Sovereign Group Ltd,Construction,ICT Operations,ICT001,4200,Capital,Renovation Works,24192.27,4838.45,29030.72,GBP,Overdue,,Invoice,2024/2025,
TXN-000085,INV-20250300085,2025-03-03,2025-04-02,2025-03-31,SUP-1005,Johnston Builders & Roofing Ltd,Construction,Human Resources,HR001,4800,Capital,Joinery Works,-654.61,-130.92,-785.53,GBP,Paid,BACS,Credit Note,2024/2025,-2
TXN-000086,INV-20241200086,2024-12-11,2024-12-25,,SUP-1008,SAV United Kingdom Ltd,IT Hardware,Marketing,MKT001,4700,Supplies And Services,Network Equipment,-2732.22,-546.44,-3278.66,GBP,Overdue,,Credit Note,2024/2025,
TXN-000087,INV-20240100087,2024-01-30,2024-02-13,2024-02-09,SUP-1029,Phoenix Software Ltd,IT Software,Customer Services,CST001,4900,Supplies And Services,Software Licensing,-3145.75,-629.15,-3774.90,GBP,Paid,Bank Transfer,Credit Note,2023/2024,-4
TXN-000088,INV-20231200088,2023-12-27,2024-01-26,2024-01-23,SUP-1014,P & M Sinclair Ltd,Construction,Research,RES001,6200,Capital,Building Works,33231.54,6646.31,39877.85,GBP,Paid,BACS,Invoice,2023/2024,-3
TXN-000089,INV-20250300089,2025-03-06,2025-03-20,2025-03-16,SUP-1001,Tech Source IT Solutions Ltd,IT & Technology,Waste Management,WM001,4600,Supplies And Services,IT Software,14080.71,2816.14,16896.85,GBP,Paid,Bank Transfer,Invoice,2024/2025,-4
TXN-000090,INV-20231200090,2023-12-27,2024-01-10,,SUP-1030,Wales Audit Office,Audit & Compliance,Public Health,PH001,4210,Professional Services,External Audit,25652.05,0.00,25652.05,GBP,Pending,,Invoice,2023/2024,
TXN-000091,INV-20230800091,2023-08-24,2023-09-23,2023-09-21,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Customer Services,CST001,4900,Supplies And Services,Utilities,35803.88,7160.78,42964.66,GBP,Paid,Bank Transfer,Invoice,2023/2024,-2
TXN-000092,INV-20250300092,2025-03-06,2025-04-05,,SUP-1029,Phoenix Software Ltd,IT Software,Public Health,PH001,4210,Supplies And Services,Software Licensing,56574.91,11314.98,67889.89,GBP,Pending,,Invoice,2024/2025,
TXN-000093,INV-20240600093,2024-06-22,2024-07-22,2024-07-22,SUP-1033,P1 Solutions Ltd,Facilities,Marketing,MKT001,4700,Supplies And Services,Facilities Management,44138.40,8827.68,52966.08,GBP,Paid,Bank Transfer,Invoice,2024/2025,0
TXN-000094,INV-20250200094,2025-02-19,2025-03-05,2025-03-05,SUP-1002,Phoenix Partnership Leeds Ltd,Healthcare IT,Public Health,PH001,4210,Supplies And Services,IT Software,34680.76,6936.15,41616.91,GBP,Paid,BACS,Invoice,2024/2025,0
TXN-000095,INV-20240100095,2024-01-10,2024-02-09,2024-02-03,SUP-1031,Kin and Carta UK Ltd,Digital Services,Marketing,MKT001,4700,Professional Services,Digital Transformation,58151.05,11630.21,69781.26,GBP,Paid,Cheque,Invoice,2023/2024,-6
TXN-000096,INV-20250200096,2025-02-15,2025-03-17,,SUP-1027,Kyocera Document Solutions UK Ltd,Office Equipment,Environment,ENV001,5200,Supplies And Services,Printing Equipment,19955.77,3991.15,23946.92,GBP,Overdue,,Invoice,2024/2025,
TXN-000097,INV-20241000097,2024-10-15,2024-11-14,2024-11-13,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Facilities,FAC001,4400,Supplies And Services,Infrastructure Support,15330.83,3066.17,18397.00,GBP,Paid,Bank Transfer,Invoice,2024/2025,-1
TXN-000098,INV-20250200098,2025-02-02,2025-02-16,2025-02-10,SUP-1026,CMS Enviro Systems Ltd,Environmental,Legal,LEG001,6120,Supplies And Services,Environmental Services,11458.06,2291.61,13749.67,GBP,Paid,Cheque,Invoice,2024/2025,-6
TXN-000099,INV-20230500099,2023-05-23,2023-06-22,2023-06-14,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Research,RES001,6200,Supplies And Services,Infrastructure Support,55678.45,11135.69,66814.14,GBP,Paid,Purchase Card,Invoice,2023/2024,-8
TXN-000100,INV-20250100100,2025-01-05,2025-01-19,,SUP-1032,Core Technology Systems UK Ltd,IT Infrastructure,Public Health,PH001,4210,Supplies And Services,Infrastructure Support,42659.52,8531.90,51191.42,GBP,Overdue,,Invoice,2024/2025,
TXN-000101,INV-20241000101,2024-10-17,2024-12-16,2024-12-13,SUP-1020,Tillicoultry Quarries Ltd,Materials,Marketing,MKT001,4700,Supplies And Services,Aggregate Materials,27821.51,5564.30,33385.81,GBP,Paid,Bank Transfer,Invoice,2024/2025,-3
TXN-000102,INV-20240900102,2024-09-03,2024-10-03,2024-09-26,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Operations,OPS001,4500,Supplies And Services,Utilities,14812.92,2962.58,17775.50,GBP,Paid,BACS,Invoice,2024/2025,-7
TXN-000103,INV-20230600103,2023-06-11,2023-07-11,,SUP-1025,Franks Portlock Consulting Ltd,Consultancy,Housing,HSG001,5100,Professional Services,Planning Consultancy,20557.55,4111.51,24669.06,GBP,Overdue,,Invoice,2023/2024,
TXN-000104,INV-20240100104,2024-01-31,2024-02-14,2024-02-04,SUP-1001,Tech Source IT Solutions Ltd,IT & Technology,Facilities,FAC001,4400,Supplies And Services,IT Support,51949.32,10389.86,62339.18,GBP,Paid,Purchase Card,Invoice,2023/2024,-10
TXN-000105,INV-20240300105,2024-03-06,2024-03-20,,SUP-1035,Dalkeith SPV Ltd,Capital Projects,Operations,OPS001,4500,Capital,Major Works,-4681.05,-936.21,-5617.26,GBP,Overdue,,Credit Note,2023/2024,
TXN-000106,INV-20241100106,2024-11-06,2025-01-05,2024-12-30,SUP-1013,Cinos Ltd,Telecoms,Policy,POL001,6100,Supplies And Services,Telecommunications,19261.04,3852.21,23113.25,GBP,Paid,Purchase Card,Invoice,2024/2025,-6
TXN-000107,INV-20240800107,2024-08-20,2024-09-19,2024-09-11,SUP-1025,Franks Portlock Consulting Ltd,Consultancy,Waste Management,WM001,4600,Professional Services,Planning Consultancy,-726.73,-145.35,-872.08,GBP,Paid,Bank Transfer,Credit Note,2024/2025,-8
